scene_seed,b1_wsr,b1_best_seed,b1_iterations,b1_runtime_s,b1_n_starts,b2_wsr,b2_best_seed,b2_iterations,b2_runtime_s,b2_n_starts,b3_wsr,b3_best_seed,b3_iterations,b3_runtime_s,b3_n_starts,b4_wsr,b4_best_seed,b4_iterations,b4_runtime_s,b4_n_starts,b5_wsr,b5_best_seed,b5_iterations,b5_runtime_s,b5_n_starts,proposed_wsr,proposed_best_seed,proposed_iterations,proposed_runtime_s,proposed_n_starts
8001,8.43429716740991,2029,28,4.848785300004238,5,10.59041912411183,2026,321,1.0342168000024685,5,7.829040627776086,2026,82,0.09396759999799542,1,6.470819119007356,2026,0,0.004152299999987008,5,3.064073629210867,2026,0,0.0008189000000129454,1,11.001612568664072,2029,305,38.461206700008916,5
8002,8.45971634215669,2027,27,7.465501299997413,5,10.314807399880067,2030,391,2.304750299994339,5,7.8477476482958,2026,93,0.12428409999847645,1,5.901375616825838,2030,0,0.004099800000403775,5,2.8296714238311704,2026,0,0.0007974000000103842,1,10.859006836214562,2028,217,29.061654199998884,5
8003,8.224625151639021,2029,43,10.134392100004334,5,10.543928866130575,2026,628,2.03758839999864,5,7.756684293644977,2026,60,0.07342489999791724,1,6.082949773946507,2026,0,0.005378399997425731,5,2.9124599865246585,2026,0,0.0008214999979827553,1,11.012617056214117,2028,261,26.031701500000054,5
8004,9.110881043093562,2029,49,8.661517200001981,5,10.372249677914883,2030,279,1.4072357000004558,5,7.992382912026051,2026,112,0.1136925999999221,1,5.629510711258833,2030,0,0.0058852000038314145,5,3.1438241936376388,2026,0,0.0009744000017235521,1,10.966976979653285,2030,206,43.383915999995224,5
8005,7.813596498598386,2028,22,4.445468699996127,5,9.620565006012761,2028,281,1.1217886000013095,5,7.939976731540365,2026,66,0.06267279999883613,1,4.925853530907535,2027,0,0.0037033000007795636,5,3.0868306419144025,2026,0,0.000726799997210037,1,10.740321753695746,2027,284,31.28577529999893,5
8006,8.519280669503921,2028,42,6.937286700002005,5,10.403253420511806,2029,409,1.7152614000005997,5,8.492090915038984,2026,199,0.16826709999804734,1,6.095676624859248,2029,0,0.0035168000067642424,5,3.631450939919371,2026,0,0.000674899998557521,1,10.940387534959488,2029,234,29.542426299998624,5
8007,8.10577948524617,2029,17,4.697888200003945,5,10.43980752618208,2029,241,1.068161199997121,5,7.6571150641465575,2026,106,0.08735759999763104,1,6.4734569220908895,2029,0,0.003513899999234127,5,2.7488065574964424,2026,0,0.0006632000004174188,1,11.067623029300515,2027,378,21.093727800001943,5
8008,9.514805323193157,2028,53,5.973171499997989,5,10.353345599124468,2029,307,1.14612599999964,5,8.075079292381163,2026,80,0.07173319999856176,1,6.094715374080513,2029,0,0.0037884000012127217,5,3.173877878048409,2026,0,0.0006852000005892478,1,10.83454477400157,2027,330,30.502772600000753,5
8009,9.220295007760162,2029,65,8.130277599997498,5,10.040128105345016,2027,288,1.3519422999997914,5,7.356989993141457,2026,134,0.11219569999957457,1,5.7459781752124695,2027,0,0.0035846000027959235,5,2.74100116434817,2026,0,0.0006761000004189555,1,10.745833650383386,2028,225,29.03419700000086,5
8010,8.511765131709067,2026,27,6.6823503999949025,5,10.400031408270197,2028,399,1.3040734999995038,5,7.525591242986816,2026,90,0.12195670000073733,1,6.012782631872352,2028,0,0.003447899995080661,5,2.6640526902436594,2026,0,0.0017021000021486543,1,11.003499531616189,2030,417,30.56439820000014,5
